Date,Site,Site_label,Plot,Plot_ID,Specimen,Sampling_method,Family,Genus,Species,Genus_species,Sex,Sampling_round,Unique_ID,,,,,,,,,,,,,
09-07-2020,Shaare_Zion,CBS,1,1_CBS1,1,net,Halictidae,Lasioglossum,tegulare,Lasioglossum_tegulare,F,1,09-07-2020_CBS_1_1_net_Lasioglossum_tegulare,,,,,,,,,,,,,
09-07-2020,Shaare_Zion,CBS,1,1_CBS1,2,net,Halictidae,Lasioglossum,ephialtum,Lasioglossum_ephialtum,F,1,09-07-2020_CBS_1_2_net_Lasioglossum_ephialtum,,,,,,,,,,,,,
09-07-2020,Shaare_Zion,CBS,2,1_CBS2,1,pan,Halictidae,Lasioglossum,lineatulum,Lasioglossum_lineatulum,F,1,09-07-2020_CBS_2_1_pan_Lasioglossum_lineatulum,,,,,,,,,,,,,
09-07-2020,Shaare_Zion,CBS,2,1_CBS2,2,pan,Halictidae,Lasioglossum,sagax,Lasioglossum_sagax,F,1,09-07-2020_CBS_2_2_pan_Lasioglossum_sagax,,,,,,,,,,,,,
09-07-2020,Shaare_Zion,CBS,3,1_CBS3,1,pan,Halictidae,Lasioglossum,sagax,Lasioglossum_sagax,F,1,09-07-2020_CBS_3_1_pan_Lasioglossum_sagax,,,,,,,,,,,,,
09-07-2020,Shaare_Zion,CBS,3,1_CBS3,2,pan,Halictidae,Lasioglossum,laevissimum,Lasioglossum_laevissimum,F,1,09-07-2020_CBS_3_2_pan_Lasioglossum_laevissimum,,,,,,,,,,,,,
09-07-2020,Shaare_Zion,CBS,3,1_CBS3,3,pan,Halictidae,Lasioglossum,sagax,Lasioglossum_sagax,F,1,09-07-2020_CBS_3_3_pan_Lasioglossum_sagax,,,,,,,,,,,,,
09-07-2020,Shaare_Zion,CBS,3,1_CBS3,4,net,Halictidae,Halictus,rubicundus,Halictus_rubicundus,F,1,09-07-2020_CBS_3_4_net_Halictus_rubicundus,,,,,,,,,,,,,
09-07-2020,Shaare_Zion,CBS,5,1_CBS5,1,pan,Halictidae,Lasioglossum,smilacinae,Lasioglossum_smilacinae,F,1,09-07-2020_CBS_5_1_pan_Lasioglossum_smilacinae,,,,,,,,,,,,,
09-07-2020,Shaare_Zion,CBS,5,1_CBS5,2,pan,Halictidae,Lasioglossum,sagax,Lasioglossum_sagax,F,1,09-07-2020_CBS_5_2_pan_Lasioglossum_sagax,,,,,,,,,,,,,
09-07-2020,Shaare_Zion,CBS,5,1_CBS5,3,pan,Halictidae,Lasioglossum,sagax,Lasioglossum_sagax,F,1,09-07-2020_CBS_5_3_pan_Lasioglossum_sagax,,,,,,,,,,,,,
